"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SP3","M2.5-6mm","-95.2256mm","51mm","-95.2256mm","51mm","-95.2256mm","51mm","B","180.00","9774060151"
"SP4","M2.5-6mm","-95.2256mm","4mm","-95.2256mm","4mm","-95.2256mm","4mm","B","0.00","9774060151"
"SP5","M2.5-6mm","-14.424mm","5.976mm","-14.424mm","5.976mm","-14.424mm","5.976mm","T","0.00","9774060151"
"SP6","M2.5-6mm","-78.0256mm","5.976mm","-78.0256mm","5.976mm","-78.0256mm","5.976mm","T","0.00","9774060151"
"C57","0603","-49.3mm","30.8mm","-49.3mm","30.8mm","-48.575mm","30.8mm","T","180.00","4u7"
"C58","0603","-45.1mm","37.8mm","-45.1mm","37.8mm","-44.375mm","37.8mm","T","180.00","10u"
"C59","0603","-77.7537mm","31.196mm","-77.7537mm","31.196mm","-77.7537mm","30.471mm","T","90.00","1u"
"C60","0402","-73.9256mm","34.6mm","-73.9256mm","34.6mm","-74.3506mm","34.6mm","T","360.00","10u"
"C61","0402","-72.2184mm","30.6737mm","-72.2184mm","30.6737mm","-72.2184mm","31.0987mm","T","270.00","10n"
"IC9","SOT23-5N","-49mm","33.1mm","-49mm","33.1mm","-49.95mm","31.95mm","T","90.00","LM3671MF-3.3"
"IC10","SOT23-5N","-74.6532mm","31.1746mm","-74.6532mm","31.1746mm","-75.8032mm","32.1246mm","T","0.00","LP2985-33DBVR"
"L6","LQH3NPN2R2NM","-49mm","36.5mm","-49mm","36.5mm","-50.2mm","36.5mm","T","360.00","LQH3NPN2R2NM0L"
"L7","0603","-80.9mm","1.9mm","-80.9mm","1.9mm","-80.9mm","2.715mm","T","270.00","BLM18SG121TN1D"
"C62","0603","-78.8529mm","18.7982mm","-78.8529mm","18.7982mm","-78.8529mm","18.0733mm","T","90.00","4u7"
"D8","SOT-3","-86.4256mm","6.9mm","-86.4256mm","6.9mm","-86.0756mm","6.475mm","B","180.00","TPD2E009DRTR"
"D9","SOT-3","-84.3256mm","6.9mm","-84.3256mm","6.9mm","-83.9756mm","6.475mm","B","180.00","TPD2E009DRTR"
"Q2","SOT-23","-77.9694mm","21.9904mm","-77.9694mm","21.9904mm","-78.9193mm","21.0404mm","T","90.00","PMV16XN"
"R72","0402","-80.8844mm","20.0398mm","-80.8844mm","20.0398mm","-80.8844mm","19.5598mm","T","90.00","10k"
"R73","0402","-79.9545mm","21.0262mm","-79.9545mm","21.0262mm","-79.9545mm","21.5062mm","T","270.00","10k"
