"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R105","0402","-2103mil","1023.622mil","-2103mil","1023.622mil","-2103mil","1042.52mil","T","270.00","0R"
"R104","0402","-2242mil","690mil","-2242mil","690mil","-2242mil","708.898mil","T","270.00","0R"
"R103","0402","-2061mil","1023.622mil","-2061mil","1023.622mil","-2061mil","1042.52mil","T","270.00","0R"
"R102","0402","-2305mil","733mil","-2305mil","733mil","-2305mil","714.102mil","T","90.00","10k"
"R101","0603","-1625mil","1015mil","-1625mil","1015mil","-1625mil","1047.087mil","T","270.00","100k"
"R100","0603","-1353mil","1030mil","-1353mil","1030mil","-1353mil","997.913mil","T","90.00","100k"
"Q1","SOT-23","-1532mil","1046mil","-1532mil","1046mil","-1569.402mil","1008.598mil","T","90.00","PMV32UP"
"BOOT","LED0603","-1162.223mil","319.156mil","-1162.223mil","319.156mil","-1162.223mil","291.656mil","T","90.00","KPT-1608SGC"
"J3","WE_7499110124","-3552.189mil","669.291mil","-3552.189mil","669.291mil","-3327.189mil","649.212mil","T","180.00","WE_7499110124"
"T3","SC70-3","-614.173mil","826.772mil","-614.173mil","826.772mil","-651.575mil","852.362mil","T","360.00","BSS138PW"
"R96","0402","-692.037mil","834.148mil","-692.037mil","834.148mil","-692.037mil","853.045mil","T","270.00","2k"
"J9","CON-Molex-047346-0001","-926.205mil","154.843mil","-926.205mil","157.48mil","-977.386mil","207.205mil","T","90.00","Molex 47346-0001"
"D1","PowerDI","-3814.961mil","1778.787mil","-3814.961mil","1700.787mil","-3777.961mil","1856.787mil","T","90.00","PDS760-13"
"R74","0402","-3452.488mil","1302.623mil","-3452.488mil","1302.623mil","-3452.488mil","1283.726mil","T","90.00","0R"
"R52","0402","-3659.212mil","1800.669mil","-3659.212mil","1800.669mil","-3659.212mil","1819.566mil","T","270.00","10k2"
"R48","0402","-3706.114mil","1720.707mil","-3706.114mil","1720.707mil","-3706.114mil","1701.81mil","T","90.00","16k9"
"R46","0402","-3705.769mil","1800.392mil","-3705.769mil","1800.392mil","-3705.769mil","1781.495mil","T","90.00","53k6"
"R45","0402","-3681.135mil","1859.909mil","-3681.135mil","1859.909mil","-3700.033mil","1859.909mil","T","360.00","49R9"
"R44","0402","-3368.11mil","1787.402mil","-3368.11mil","1787.402mil","-3387.008mil","1787.402mil","T","360.00","243k"
"R40","0402","-3342.078mil","1024.187mil","-3342.078mil","1024.187mil","-3323.18mil","1024.187mil","T","180.00","220R"
"R38","0402","-3259.62mil","1024.187mil","-3259.62mil","1024.187mil","-3240.722mil","1024.187mil","T","180.00","220R"
"L1","WE_7447798720","-3712.598mil","1389.764mil","-3712.598mil","1389.764mil","-3712.598mil","1551.181mil","T","270.00","WE_7447798720"
"IC3","WSON-10_4x4","-3515.748mil","1724.409mil","-3515.748mil","1724.409mil","-3437.008mil","1661.417mil","T","270.00","TPS54561-Q1"
"C64","0402","-3658.732mil","1723.655mil","-3658.732mil","1723.655mil","-3658.732mil","1706.922mil","T","90.00","47p"
"C25","0402","-3680.543mil","1660.118mil","-3680.543mil","1660.118mil","-3663.811mil","1660.118mil","T","180.00","4n7"
"C24","0402","-3370.113mil","1753.791mil","-3370.113mil","1753.791mil","-3386.845mil","1753.791mil","T","360.00","10n"
"C23","1206","-3402.866mil","1952.572mil","-3402.866mil","1952.572mil","-3457mil","1952.572mil","T","360.00","2u2"
"C22","1206","-3402.866mil","1860.708mil","-3402.866mil","1860.708mil","-3457mil","1860.708mil","T","360.00","2u2"
"C21","1206","-3402.866mil","2044.435mil","-3402.866mil","2044.435mil","-3457mil","2044.435mil","T","360.00","2u2"
"C19","0402","-3458.933mil","1613.748mil","-3458.933mil","1613.748mil","-3440.036mil","1613.748mil","T","180.00","100n"
"C18","0805","-3718.081mil","1102.362mil","-3718.081mil","1102.362mil","-3718.081mil","1067.913mil","T","90.00","47u"
"C17","0805","-3637.795mil","1102.362mil","-3637.795mil","1102.362mil","-3637.795mil","1067.913mil","T","90.00","47u"
"IC8","SOT23-5N","-178.173mil","1248.032mil","-178.173mil","1248.032mil","-215.575mil","1202.756mil","T","90.00","LM3671MF-3.3"
"D3","SOT-3","-938.016mil","275.591mil","-938.016mil","275.591mil","-951.795mil","258.858mil","T","0.00","TPD2E009DRTR"
"C56","0603","-64mil","1381.89mil","-64mil","1381.89mil","-64mil","1353.346mil","T","90.00","10u"
"C55","0603","-189.984mil","1082.677mil","-189.984mil","1082.677mil","-161.441mil","1082.677mil","T","180.00","4u7"
"C13","0402","-3527.456mil","539.805mil","-3527.456mil","539.805mil","-3527.456mil","558.703mil","B","270.00","10n"
"FAN","molex_2223-2021","-342.52mil","732.284mil","-342.52mil","732.284mil","-392.52mil","732.284mil","T","0.00","MX-22-23-2021"
"M1","jetson-nano-connector","-1830.985mil","1738.189mil","-580mil","240.157mil","-517.992mil","2055.118mil","T","180.00","Value"
